"","study","mgm2yr","gCm2yr","mgm2d","notable","response","habitat","label","year_collected","notes","size"
"1","Whiles and Goldowitz (2001)",256,0.12,0.7,"backwater","emergence","floodplain wetlands","WG2001 (floodplain)",0,"range of hydroperiod","62 estimates from lentic habitats"
"2","Whiles and Goldowitz (2001)",183,0.09,0.5,"backwater","emergence","floodplain wetlands","WG2001 (floodplain)",0,"range of hydroperiod","62 estimates from lentic habitats"
"3","Whiles and Goldowitz (2001)",135,0.06,0.4,"backwater","emergence","floodplain wetlands","WG2001 (floodplain)",0,"range of hydroperiod","62 estimates from lentic habitats"
"4","Whiles and Goldowitz (2001)",5099,2.41,14,"backwater","emergence","floodplain wetlands","WG2001 (floodplain)",0,"range of hydroperiod","62 estimates from lentic habitats"
"5","Whiles and Goldowitz (2001)",440,0.21,1.2,"backwater","emergence","floodplain wetlands","WG2001 (floodplain)",0,"range of hydroperiod","62 estimates from lentic habitats"
"6","Schreiver et al. (2011)",13242.69648,6.29,36.3,"other","emergence","intermittent ponds","S2011 (ponds)",0,"converted from gCm2y","62 estimates from lentic habitats"
"7","Stagliano et al. (1998)",2416,1.14,6.6,"other","emergence","vegetated wetland","S1998 (veg wetland)",0,"none","62 estimates from lentic habitats"
"8","Stagliano et al. (1998)",579,0.27,1.6,"other","emergence","open water wetland","S1998 (open wetland)",0,"none","62 estimates from lentic habitats"
"9","Gratton and Vander Zanden 2009",4394,2.1,12,"global lakes","emergence","lakes","GVZ2009 (global lakes)",0,"added 1000 to make distinguish from Whiles and Goldowitz","global lentic mean"
"10","Mestle and Hesse (1993)",1435.8,0.68,3.9,"backwater MR","emergence (est. from benthic)","backup habitat","MH1993 (backwater)",1986,"Bazile Creek area. Table 3. Measured as benthic insect production of  in 1980, multiplied by 0.3 to estimate average Ei/Pi for lakes from Gratton and Vander Zanden 2009)","62 estimates from lentic habitats"
"11","Mestle and Hesse (1993)",796.5,0.38,2.2,"backwater MR","emergence (est. from benthic)","backup habitat","MH1993 (backwater)",1987,"Bazile Creek area. Table 3. Measured as benthic insect production of  in 1980, multiplied by 0.3 to estimate average Ei/Pi for lakes from Gratton and Vander Zanden 2009)","62 estimates from lentic habitats"
"12","Benke et al. (1984)",6586.8,3.12,18,"other","emergence (est. from benthic)","backup habitat","B1984",1975,"Satilla Creek. Table 16. Measured as benthic invert production of  in 1980, multiplied by 0.3 to estimate average Ei/Pi for lakes from Gratton and Vander Zanden 2009)","62 estimates from lentic habitats"
"13","Benke et al. (1984)",4173.9,1.98,11.4,"other","emergence (est. from benthic)","backup habitat","B1984",1975,"Satilla Creek. Table 16. Measured as benthic invert production of  in 1980, multiplied by 0.3 to estimate average Ei/Pi for lakes from Gratton and Vander Zanden 2009)","62 estimates from lentic habitats"
"14","Benson et al. (1980)",2994,1.42,8.2,"Texas pond","emergence","pond","",NA,"from Gratton and Vander Zanden 2009","62 estimates from lentic habitats"
"15","Hobbie (1980)",2035,0.97,5.6,"tundra pond J","emergence","pond","",NA,"from Gratton and Vander Zanden 2009","62 estimates from lentic habitats"
